feature,coeff
EXT_SOURCE_3,-0.09146231936519592
EXT_SOURCE_1,-0.1343550397272058
YEARS_EMPLOYED,-0.423883776103728
AMT_GOODS_PRICE,-0.5483910963464483
IP_WORST_DPD_720D,-0.4330925791299366
YEARS_AGE,0.03406737090576782
GOODS_CREDIT_RATIO,-0.46556613146309167
B_DEBT_TO_CREDIT_RATIO,-0.28566349317907896
B_NUM_ACTIVE_CREDIT_720D,-0.41598314002458425
AMT_CREDIT,0.2982959877154299
REGION_RATING_CLIENT_W_CITY,-0.3827687979348308
CB_AVG_ATM_WITHDRAWAL_FREQ_6M,-0.6037328735546352
FLAG_DOCUMENT_3,-0.5894528673791923
EXT_SOURCE_WEIGHTED,-0.6736661495532796
PA_RATIO_APPROVED_LOANS,-0.2962491798044886
PA_AVG_RISK_WEIGHT_1080D,-0.2252704414400915
PA_RATIO_CREDIT_APPLICATION_Cash,-0.3540568791631059
PA_RATIO_CREDIT_APPLICATION_POS,-0.4228257396178154
PA_AVG_AMT_ANNUITY_POS,-0.5112143607364884
B_CREDIT_DURATION_MIN,-0.4886924586074794
OCCUPATION_GROUP,-0.1777573560464244
ORG_GROUP,-0.4182754767859415
NAME_INCOME_TYPE,-0.15208427977264585
NAME_EDUCATION_TYPE,-0.4670315851448184
CODE_GENDER,-0.5701585082632005
NAME_FAMILY_STATUS,-0.29221548183335855
IP_RATIO_LATE_PAYMENTS_2160D,-0.47309421704431615
IP_NUM_COMPLETED_LOANS,-0.4636458473697373
CB_WT_CREDIT_UTIL_TREND_3M_12M,-0.2812203726570602
