score_decile,count,bad_count,non_calibration,non_calibration_avg_pd_pct,good_count,pd_model_pct,observed_dr_pct,bad_capture_rate_cumsum
"(611.269, 690.58]",24602,6398,0.7893308885946368,78.93,18204,26.6,26.01,32.22
"(690.58, 704.98]",24605,3802,0.6569705517683607,65.7,20803,14.95,15.45,51.36
"(704.98, 715.77]",24597,2706,0.5621869680246551,56.22,21891,10.5,11.0,64.98
"(715.77, 724.79]",24603,1916,0.4824724233922883,48.25,22687,7.83,7.79,74.63
"(724.79, 733.065]",24597,1498,0.4130704224143065,41.31,23099,6.02,6.09,82.18
"(733.065, 740.96]",24638,1161,0.3524650515744601,35.25,23477,4.71,4.71,88.02
"(740.96, 749.0]",24586,893,0.2981515663572106,29.82,23693,3.71,3.63,92.52
"(749.0, 757.81]",24588,667,0.2463536208416124,24.64,23921,2.88,2.71,95.88
"(757.81, 769.0]",24597,482,0.19515645538675416,19.52,24115,2.15,1.96,98.3
"(769.0, 819.41]",24595,337,0.13136871693251964,13.14,24258,1.36,1.37,100.0
